Nombre: Empleado 1
Empresa: 1200
DNI: 56.976.240
Sueldo: 77364.421522
Antiguedad: 17

Nombre: Empleado 2
Empresa: 1200
DNI: 1.760.367
Sueldo: 46458.326975
Antiguedad: 16

Nombre: Empleado 3
Empresa: 1200
DNI: 43.532.044
Sueldo: 34162.419507
Antiguedad: 5

Nombre: Empleado 4
Empresa: 1201
DNI: 84.805.099
Sueldo: 90810.876797
Antiguedad: 17

Nombre: Empleado 5
Empresa: 1201
DNI: 0.839.489
Sueldo: 81307.412946
Antiguedad: 24

Nombre: Empleado 6
Empresa: 1202
DNI: 51.157.297
Sueldo: 91323.587756
Antiguedad: 2

Nombre: Empleado 7
Empresa: 1202
DNI: 8.106.156
Sueldo: 24588.763085
Antiguedad: 13

Nombre: Empleado 8
Empresa: 1202
DNI: 29.448.294
Sueldo: 27826.776940
Antiguedad: 4

Nombre: Empleado 9
Empresa: 1202
DNI: 90.929.916
Sueldo: 314.340648
Antiguedad: 3

Nombre: Empleado 10
Empresa: 1202
DNI: 63.607.449
Sueldo: 58015.686514
Antiguedad: 19

Nombre: Empleado 11
Empresa: 1202
DNI: 84.533.254
Sueldo: 32758.568072
Antiguedad: 12

Nombre: Empleado 12
Empresa: 1202
DNI: 48.003.777
Sueldo: 13681.447798
Antiguedad: 18

Nombre: Empleado 13
Empresa: 1203
DNI: 51.970.550
Sueldo: 52534.562212
Antiguedad: 10

Nombre: Empleado 14
Empresa: 1204
DNI: 60.628.857
Sueldo: 85622.730186
Antiguedad: 24

Nombre: Empleado 15
Empresa: 1205
DNI: 54.878.253
Sueldo: 80037.842952
Antiguedad: 24

Nombre: Empleado 16
Empresa: 1206
DNI: 81.401.153
Sueldo: 15808.587909
Antiguedad: 22

Nombre: Empleado 17
Empresa: 1206
DNI: 1.912.201
Sueldo: 28437.147130
Antiguedad: 7

Nombre: Empleado 18
Empresa: 1206
DNI: 87.278.051
Sueldo: 91177.098910
Antiguedad: 10

Nombre: Empleado 19
Empresa: 1206
DNI: 25.335.617
Sueldo: 59480.574969
Antiguedad: 2

Nombre: Empleado 20
Empresa: 1206
DNI: 83.499.208
Sueldo: 6292.916654
Antiguedad: 2

Nombre: Empleado 21
Empresa: 1206
DNI: 14.889.915
Sueldo: 95764.030885
Antiguedad: 1

Nombre: Empleado 22
Empresa: 1206
DNI: 30.192.015
Sueldo: 1376.384777
Antiguedad: 21

Nombre: Empleado 23
Empresa: 1206
DNI: 20.054.485
Sueldo: 76360.362560
Antiguedad: 16

Nombre: Empleado 24
Empresa: 1206
DNI: 14.924.956
Sueldo: 80684.835353
Antiguedad: 24

Nombre: Empleado 25
Empresa: 1207
DNI: 78.986.118
Sueldo: 22202.215644
Antiguedad: 15

Nombre: Empleado 26
Empresa: 1207
DNI: 29.812.615
Sueldo: 14709.921567
Antiguedad: 24

Nombre: Empleado 27
Empresa: 1207
DNI: 5.874.672
Sueldo: 19064.912870
Antiguedad: 16

Nombre: Empleado 28
Empresa: 1207
DNI: 85.155.927
Sueldo: 84676.656392
Antiguedad: 24

Nombre: Empleado 29
Empresa: 1207
DNI: 58.912.398
Sueldo: 16302.987762
Antiguedad: 20

Nombre: Empleado 30
Empresa: 1207
DNI: 34.443.719
Sueldo: 33365.886410
Antiguedad: 12

Nombre: Empleado 31
